round_num,venue,date,year,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
8,East Melbourne,1897-06-26 15:00,1897,Essendon,3.0,0.0,4.0,1.0,5.0,2.0,5.0,2.0,Geelong,1.0,1.0,4.0,2.0,5.0,4.0,8.0,9.0
8,M.C.G.,1897-06-26 15:00,1897,Melbourne,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,South Melbourne,0.0,1.0,5.0,4.0,9.0,4.0,11.0,7.0
9,Princes Park,1897-07-03 15:00,1897,Carlton,2.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,South Melbourne,0.0,1.0,6.0,4.0,9.0,5.0,11.0,8.0
9,Victoria Park,1897-07-03 15:00,1897,Collingwood,0.0,1.0,2.0,4.0,4.0,5.0,5.0,7.0,Essendon,2.0,4.0,2.0,6.0,4.0,9.0,6.0,10.0
9,Brunswick St,1897-07-03 15:00,1897,Fitzroy,1.0,8.0,4.0,14.0,8.0,17.0,9.0,21.0,St Kilda,1.0,2.0,1.0,2.0,2.0,4.0,2.0,6.0
9,Corio Oval,1897-07-03 15:00,1897,Geelong,0.0,1.0,1.0,3.0,1.0,6.0,1.0,9.0,Melbourne,0.0,4.0,0.0,7.0,0.0,9.0,0.0,10.0
10,Princes Park,1897-07-10 15:00,1897,Carlton,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,Essendon,3.0,1.0,3.0,2.0,4.0,5.0,5.0,12.0
10,Corio Oval,1897-07-10 15:00,1897,Geelong,0.0,5.0,3.0,6.0,3.0,8.0,7.0,10.0,Collingwood,0.0,2.0,0.0,4.0,1.0,4.0,1.0,4.0
10,M.C.G.,1897-07-10 15:00,1897,Melbourne,5.0,2.0,6.0,2.0,7.0,3.0,8.0,5.0,Fitzroy,1.0,1.0,2.0,3.0,3.0,6.0,3.0,8.0
10,Junction Oval,1897-07-10 15:00,1897,St Kilda,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,South Melbourne,2.0,4.0,6.0,7.0,6.0,14.0,8.0,16.0
